uri,artist_id,image,release_date,duration,sound,genre,acoustic,dance,energy,instrumental,key,live,loud,speech,tempo,time_signature,valence
4XwEisUZ1aMgtY2ayApbTT,32UhRcgdXO6LdLhOpfIdxp,ab67616d00001e02b8b3c91b324c11509275f972,2018-12-14,187654.0,1b00caa3c10c11f11b4975052dc65832f8ed757d?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.106,0.749,0.783,0.0,1,0.14,-4.784,0.133,93.943,4,0.644
4XwMoPc7s1E2V0Q5eKSzpA,3YBJLs7RqR0aPGBgU27nDh,ab67616d00001e02c52c479e4abc2aa659e9ed88,2023-09-22,180050.0,e9258d2b1fac6e1bfc63e085c4b1a88829dadedc?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.0923,0.702,0.827,0.000612,0,0.665,-6.274,0.108,96.0,5,0.304
4xyNG8vZR3g8FnphVkbjRo,00FQb4jTyendYWaN8pK0wa,ab67616d00001e020ce29816dc0bf56f52ebde8f,2017-07-21,272742.0,,pop,0.492,0.325,0.377,0.00314,10,0.111,-10.911,0.0345,98.87,4,0.278
4xyyC9MONeIkqOW67C38kw,4LXBc13z5EWsc5N32bLxfH,ab67616d00001e028e253d99749e613d42e973ad,2015-06-08,265706.0,,rap,0.172,0.46,0.625,0.0,7,0.118,-5.956,0.0807,124.154,4,0.473
4XzyzMqcRK0fob4g8kFdZ3,5gs4Sm2WQUkcGeikMcVHbh,ab67616d00001e0285fcb68a2a6ff6c78ce2839d,2019-12-20,190959.0,53d7461a1ca7730efec1ed78e7283fa06fcd78a2?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.39,0.765,0.427,1.2e-06,3,0.12,-12.899,0.183,159.984,4,0.513
4Y1qZCUyg9Tjr9G2g79SFQ,7DUTsWY3RBd64vh8UtgtYA,ab67616d00001e02c149cab8b9e0169bdcc957f7,2020-10-15,178960.0,,rap,0.0969,0.915,0.799,0.0,7,0.0806,-6.659,0.204,118.001,4,0.51
4y3OI86AEP6PQoDE6olYhO,7gOdHgIoIKoe4i9Tta6qdD,ab67616d00001e02c85bf1709e11b6a288925b26,2019-03-01,181026.0,,pop,0.0427,0.842,0.734,0.0,1,0.106,-5.065,0.0588,137.958,4,0.952
4Y4diRGOGDxZcDh9qYwFVv,25yJrwrn5I0EUdQEiTtNSO,ab67616d00001e02e42d4db4f2a450265d282e23,2020-07-10,146053.0,6b959e58a832e7efbffc07745bd523384a69f023?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.555,0.666,0.589,0.0,0,0.114,-8.405,0.324,74.974,4,0.776
4y4spB9m0Q6026KfkAvy9Q,1uNFoZAHBGtllmzznpCI3s,ab67616d00001e0283b22beb73e2014b20159685,2020-10-16,149297.0,,pop,0.864,0.631,0.239,0.0,11,0.116,-7.071,0.0398,79.859,4,0.0927
4y7wmBHkbyAiyeRyOuf0h6,3IW7ScrzXmPvZhB27hmfgy,ab67616d00001e02c6f5a6c929bb4da899b35fa2,2023-06-09,195893.0,91340d6e22635da6b64d813101a08a2e54ce8e1c?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.736,0.796,0.672,0.0,7,0.0974,-5.451,0.13,94.999,4,0.581
4y8L7F837jo9eE2LG3TRGA,7x3eTVPlBiPjXHn3qotY86,ab67616d00001e022e3a13fdf5c618bfbf35d645,2018-05-11,185906.0,90b35037095dfcb902385e69a5b36ca3c5b4f9ca?cid=8e0ce36364d143bab6ff99cbe736c94c,r&b,0.309,0.881,0.609,0.00376,3,0.068,-7.827,0.058,113.0,4,0.799
4Y9cgS6CivD8D0WLWFoPn2,2ubn2zwyYaLdHOCKnTouU2,ab67616d00001e0270439261dd728e9ea9ad9206,2023-02-23,106133.0,,rap,0.00251,0.802,0.545,0.381,2,0.24,-8.244,0.0733,142.952,4,0.0649
4YcK0u6DgSg1jQqWYCXTBq,7IlRNXHjoOCgEAWN5qYksg,ab67616d00001e02e18ece75007e1aa0504e664a,2020-11-13,183773.0,9b64c50687204f0242579151e55a64ab540f55c4?cid=8e0ce36364d143bab6ff99cbe736c94c,r&b,0.0596,0.927,0.686,2.2e-06,3,0.11,-4.23,0.162,127.038,4,0.43
4ycyOBm9iFoiNVkafhb1WW,6qFt3TjvxMt77YGsktWG8Z,ab67616d00001e028b6fb0dffb290ef4f27e56e7,2021-02-04,165957.0,,rap,0.312,0.692,0.789,2.28e-06,0,0.138,-4.376,0.127,95.231,4,0.689
4ycYWTh5pNq2Dgyh201skD,7JDQ2kZsT80ht4tzgIaId4,ab67616d00001e024727b3fca9e7d862db33b872,2018-02-02,226000.0,1f82e024567b8131513244ad33ea2c4761f9ae18?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.185,0.834,0.699,0.0,10,0.0864,-5.225,0.259,119.991,4,0.251
4YDuN2wT9oCQDPvES6MwVv,1qKKI6tBqJZCZfAmXjYFjN,ab67616d00001e0207734627cbf87cea36bf57c7,2017-01-20,198812.0,a8834e22f79d3c07208d9503a8b136b5a07d240b?cid=8e0ce36364d143bab6ff99cbe736c94c,pop,0.271,0.773,0.732,0.0,10,0.0589,-4.173,0.0634,114.977,4,0.585
4YEpm5zIxSYrfGNb06dO7R,20pbz4TbpkBUr5JwYfGgPS,ab67616d00001e02de9008a0e0fab74514110d6b,2021-04-02,205506.0,403ae461db0da8a8cf0ee1a9d9a1171689d51894?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.74,0.828,0.311,2.66e-05,11,0.119,-8.544,0.118,100.043,4,0.655
4YFaeDCJfOmbL8pS4XzKlI,2k8fAJK9HbH1FhqVpZL98P,ab67616d00001e027bd43b4b0dd6ff9c828da0df,2022-01-20,195253.0,,rap,0.376,0.644,0.672,0.0,9,0.0894,-8.122,0.146,119.955,4,0.424
4ygj47gBLrOHq2wB0GL7xs,1mMUzAMrNqoTHgtxA0dZi6,ab67616d00001e02de3ccdd13eb674bafd0cb696,2018-06-01,184401.0,,rap,0.486,0.864,0.564,0.0,0,0.0911,-8.361,0.602,134.027,4,0.707
4yH268AmzuUE8dwtaJYWcz,6ytOHdKh4xt4YvF7tz8Zcv,ab67616d00001e02263d2911800d49b286e9a559,2017-05-19,234813.0,,rap,0.194,0.829,0.813,0.0,0,0.223,-4.461,0.304,140.05,4,0.815
4YhN72dRYL2Z3MsaKyT7rS,1Cs0zKBU1kc0i8ypK3B9ai,ab67616d00001e024fe606cc6e4b8cb29d736def,2019-05-09,185942.0,cdec5b64d940692d5d9cf0389e2520691480174b?cid=8e0ce36364d143bab6ff99cbe736c94c,electro,0.259,0.669,0.797,0.0,9,0.199,-5.68,0.0624,119.865,4,0.552
4yhPoUr2HsEYYF9BBX25eo,7xBhNR6BprH7PZO0Sqg1cA,ab67616d00001e02a35ab31e3e1f46aa65d40d55,2022-01-28,159785.0,,electro,0.00969,0.626,0.781,0.0,1,0.117,-5.67,0.0296,126.084,4,0.604
4yHWwwuLCV9I3h0NorPbN8,2k8fAJK9HbH1FhqVpZL98P,ab67616d00001e02abe62a1a2076e2f32b2c8611,2018-02-23,197200.0,,rap,0.459,0.535,0.837,1.62e-06,11,0.162,-5.773,0.492,96.108,3,0.395
4yI3HpbSFSgFZtJP2kDe5m,0C8ZW7ezQVs4URX5aX7Kqx,ab67616d00001e020d4349841a125fd697100285,2019-10-24,162595.0,,pop,0.114,0.563,0.565,0.026,10,0.304,-7.905,0.271,154.353,5,0.55
4yiRW6XPeda3Vd0r1uDwBT,3IW7ScrzXmPvZhB27hmfgy,ab67616d00001e0290dceda200d34ac1962b1449,2022-07-28,189358.0,346efe35cd6dff8a97924b62ca9f7da05028236c?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.802,0.855,0.667,0.0142,1,0.1,-5.958,0.166,142.008,4,0.916
4yjqpsuyrbjyXHB6rC0mWo,0Ntl0oWMPWfBOoi9Qcr9ht,ab67616d00001e025ccb71280a1c8299c7b6856f,2018-09-28,233973.0,,r&b,0.457,0.72,0.647,0.0,8,0.0977,-6.688,0.159,107.04,4,0.294
4YKklYV3JhreoPyfTH5ubr,0xECfhlRzRRIIe2Co5HX6n,ab67616d00001e0225b8e46f0fa1df979d408edd,2020-09-25,155906.0,4b0204bd05d6c46dc5ac45ae2930651338ee5280?cid=8e0ce36364d143bab6ff99cbe736c94c,r&b,0.107,0.728,0.752,0.00369,7,0.0814,-7.521,0.0431,119.994,4,0.803
4YKqj8VsrWVjvuwuellcY7,62zLrboqOTPyozwi721CVy,ab67616d00001e02503a562062fe836ea962d895,2018-02-23,230746.0,,rap,0.219,0.758,0.738,0.0,1,0.28,-5.776,0.205,142.076,4,0.522
4YlMUhXDV3d8tNwzkb4gmy,74YbW6s8CZdaYLxJU9HeS7,ab67616d00001e02655cda21d44dd5b366b6c558,2021-02-05,219016.0,9610e48afc5d0f7b1c3b796bdb3c157f0e0177c5?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.31,0.842,0.638,0.0,4,0.0895,-8.921,0.131,133.045,4,0.566
4yMEImCQkSAydckSKKBud7,3IW7ScrzXmPvZhB27hmfgy,ab67616d00001e02f3e8990652f0a336ae55f26a,2018-06-29,202866.0,2ef9c692bb0afce0bee44bd1c519caa5ced2cea4?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.346,0.954,0.654,0.0,9,0.114,-5.804,0.0591,133.997,4,0.85
4yn4T3wztHmguBIeSVwWie,2vVNxGBvKRQMWwI5c8KmYh,ab67616d00001e02a561e6bfa41626dcef172bad,2018-01-19,175238.0,e7359a488817a201bc0e5cc8679e455dbad12c98?cid=8e0ce36364d143bab6ff99cbe736c94c,electro,0.0286,0.884,0.929,0.268,10,0.142,-4.303,0.121,125.976,4,0.29
4YozQc1Jf4aAvXUhuo5zqL,6qFt3TjvxMt77YGsktWG8Z,ab67616d00001e02edcb901d0b6e93f58d2fbb35,2017-05-12,221040.0,,rap,0.201,0.697,0.876,0.0,8,0.437,-3.014,0.345,110.085,4,0.356
4YpVlqsbsnmRFP7bamdWbR,6pdcQa7by8IKuoVXvgknlI,ab67616d00001e02a5ba603ea7b24fb5225d8719,2019-02-08,159597.0,,rap,0.671,0.769,0.304,0.0,0,0.133,-7.579,0.0535,142.006,3,0.43
4Yq3XUNfWrAPWuB94qkC09,246dkjvS1zLTtiykXe5h60,ab67616d00001e02bbf401121625a31ba1a6a4bb,2019-09-06,229573.0,,rap,0.0906,0.499,0.8,0.0,1,0.147,-2.665,0.0502,139.919,4,0.272
4YQSkV3WppdoDuc0ZT8ai6,1Yfe3ONJlioHys7jwHdfVm,ab67616d00001e0200c0bba714d6c46e47ab1d07,2018-12-07,31693.0,0ff64434781fcabcc21ce3d74ddb22b56151c68c?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.313,0.719,0.252,0.0,5,0.137,-17.766,0.868,126.144,4,0.705
4ys8kB0E4QHxdGlkfOpGse,7DUTsWY3RBd64vh8UtgtYA,ab67616d00001e022839de8e42f820d959a08736,2021-12-09,199093.0,,rap,0.213,0.826,0.679,0.0,5,0.0975,-6.579,0.436,139.888,4,0.262
4ysXJQqi5zH0yz1R4sna52,7CUFPNi1TU8RowpnFRSsZV,ab67616d00001e022c3f327836f175659307ccdc,2017-03-10,171133.0,,r&b,0.249,0.632,0.692,6.6e-06,2,0.127,-5.443,0.342,82.528,3,0.443
4ytKJ34eSlLtFfuXh64C5c,1wAtSe79kItIb9nf5EhI2Q,ab67616d00001e026e2e22813c7d8b628496794f,2019-11-22,203106.0,8d2428eaa76bbfd3f4706cbe4e34a7557272fbb8?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.295,0.908,0.459,2.97e-06,10,0.086,-9.48,0.257,124.974,4,0.384
4Ywtznk2e3DL1XVme4ckTa,6Te49r3A6f5BiIgBRxH7FH,ab67616d00001e02539451bf3e69812d1f21f898,2017-01-26,192790.0,7534584a68f29874567246b7fee211ab15a1ff19?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.407,0.643,0.758,0.0,1,0.144,-4.955,0.76,139.073,4,0.288
4YXvIqGemSbgBtHP5AOWvJ,3IW7ScrzXmPvZhB27hmfgy,ab67616d00001e0218260dfae50297106d8c9e47,2017-09-23,260506.0,594bb42a15c60032a30dd1d50775a209849684b3?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.76,0.855,0.803,0.013,4,0.1,-6.938,0.147,134.009,4,0.866
